"no_reg","pilihan"
"241000100","Media Elektronik (Televisi, Radio)"
"241000100","Teman "
"241000100","Forum Diskusi Online"
"241000100","Email / SMS Broadcast"
"241000100","Media Promosi Cetak (Poster, Flyer, Brosur)"
"241000101","Teman "
"241000103","Teman "
"241000103","Media Elektronik (Televisi, Radio)"
"241000104","Teman "
"241000107","Website infopmb.itpln.ac.id"
"241000108","Email / SMS Broadcast"
"241000111","Teman "
"241000111","Guru / Sekolah"
"241000111","Jejaring Sosial"
"241000114","Media Elektronik (Televisi, Radio)"
"241000114","Media Cetak (Surat Kabar, Koran, Majalah)"
"241000114","Media Promosi Cetak (Poster, Flyer, Brosur)"
"241000115","Website infopmb.itpln.ac.id"
"241000115","Media Elektronik (Televisi, Radio)"
"241000119","Teman "
"241000119","Website infopmb.itpln.ac.id"
"241000119","Jejaring Sosial"
"241000120","Teman "
"241000120","Jejaring Sosial"
"241000121","Media Elektronik (Televisi, Radio)"
"241000121","Jejaring Sosial"
"241000122","Teman "
"241000124","Website infopmb.itpln.ac.id"
"241000125","Jejaring Sosial"
"241000126","Media Elektronik (Televisi, Radio)"
"241000126","Website infopmb.itpln.ac.id"
"241000126","Media Promosi Cetak (Poster, Flyer, Brosur)"
"241000133","Jejaring Sosial"
"241000134","Website infopmb.itpln.ac.id"
"241000138","Website infopmb.itpln.ac.id"
"241000139","Media Promosi Cetak (Poster, Flyer, Brosur)"
"241000140","Forum Diskusi Online"
"241000140","Guru / Sekolah"
"241000141","Website infopmb.itpln.ac.id"
"241000147","Media Elektronik (Televisi, Radio)"
"241000148","Website infopmb.itpln.ac.id"
"241000151","Jejaring Sosial"
"241000155","Jejaring Sosial"
"241000156","Website infopmb.itpln.ac.id"
"241000157","Teman "
"241000157","Media Promosi Cetak (Poster, Flyer, Brosur)"
"241000157","Jejaring Sosial"
"241000158","Teman "
"241000159","Jejaring Sosial"
"241000164","Jejaring Sosial"
"241000166","Website infopmb.itpln.ac.id"
"241000166","Website Lain"
"241000167","Website infopmb.itpln.ac.id"
"241000168","Website infopmb.itpln.ac.id"
"241000168","Forum Diskusi Online"
"241000171","Media Cetak (Surat Kabar, Koran, Majalah)"
"241000171","Teman "
"241000174","Jejaring Sosial"
"241000176","Website infopmb.itpln.ac.id"
"241000176","Jejaring Sosial"
"241000177","Website infopmb.itpln.ac.id"
"241000181","Teman "
"241000184","Jejaring Sosial"
"241000185","Teman "
"241000187","Media Promosi Cetak (Poster, Flyer, Brosur)"
"241000189","Website infopmb.itpln.ac.id"
"241000193","Jejaring Sosial"
"241000194","Website infopmb.itpln.ac.id"
"241000195","Media Promosi Cetak (Poster, Flyer, Brosur)"
"241000195","Media Cetak (Surat Kabar, Koran, Majalah)"
"241000195","Media Elektronik (Televisi, Radio)"
"241000196","Website infopmb.itpln.ac.id"
"241000197","Teman "
"241000198","Jejaring Sosial"
"241000199","Media Promosi Cetak (Poster, Flyer, Brosur)"
"241000202","Jejaring Sosial"
"241000203","Jejaring Sosial"
"241000204","Jejaring Sosial"
"241000205","Website infopmb.itpln.ac.id"
"241000206","Website infopmb.itpln.ac.id"
"241000206","Website Lain"
"241000206","Teman "
"241000208","Jejaring Sosial"
"241000210","Jejaring Sosial"
"241000210","Teman "
"241000212","Teman "
"241000212","Website infopmb.itpln.ac.id"
"241000212","Forum Diskusi Online"
"241000214","Email / SMS Broadcast"
"241000215","Website infopmb.itpln.ac.id"
"241000216","Website infopmb.itpln.ac.id"
"241000217","Website infopmb.itpln.ac.id"
"241000219","Teman "
"241000219","Website infopmb.itpln.ac.id"
"241000219","Jejaring Sosial"
"241000220","Media Elektronik (Televisi, Radio)"
"241000220","Jejaring Sosial"
"241000221","Jejaring Sosial"
"241000221","Guru / Sekolah"
"241000221","Teman "
"241000223","Website infopmb.itpln.ac.id"
"241000225","Media Cetak (Surat Kabar, Koran, Majalah)"
"241000226","Teman "
"241000227","Website infopmb.itpln.ac.id"
"241000228","Teman "
"241000230","Teman "
"241000230","Website infopmb.itpln.ac.id"
"241000230","Jejaring Sosial"
"241000232","Website infopmb.itpln.ac.id"
"241000233","Website infopmb.itpln.ac.id"
"241000233","Jejaring Sosial"
"241000234","Jejaring Sosial"
"241000235","Website infopmb.itpln.ac.id"
"241000237","Website infopmb.itpln.ac.id"
"241000238","Website infopmb.itpln.ac.id"
"241000238","Teman "
"241000239","Jejaring Sosial"
"241000240","Guru / Sekolah"
"241000241","Media Elektronik (Televisi, Radio)"
"241000242","Jejaring Sosial"
"241000243","Jejaring Sosial"
"241000243","Website infopmb.itpln.ac.id"
"241000244","Jejaring Sosial"
"241000244","Website infopmb.itpln.ac.id"
"241000245","Jejaring Sosial"
"241000245","Teman "
"241000246","Website infopmb.itpln.ac.id"
"241000247","Media Promosi Cetak (Poster, Flyer, Brosur)"
"241000248","Website infopmb.itpln.ac.id"
"241000248","Teman "
"241000249","Media Cetak (Surat Kabar, Koran, Majalah)"
"241000250","Jejaring Sosial"
"241000251","Website infopmb.itpln.ac.id"
"241000251","Jejaring Sosial"
"241000252","Website infopmb.itpln.ac.id"
"241000254","Teman "
"241000255","Jejaring Sosial"
"241000261","Website infopmb.itpln.ac.id"
"241000261","Jejaring Sosial"
"241000264","Website infopmb.itpln.ac.id"
"241000266","Media Elektronik (Televisi, Radio)"
"241000267","Jejaring Sosial"
"241000268","Website infopmb.itpln.ac.id"
"241000269","Jejaring Sosial"
"241000269","Teman "
"241000271","Teman "
"241000271","Website infopmb.itpln.ac.id"
"241000272","Website infopmb.itpln.ac.id"
"241000273","Jejaring Sosial"
"241000275","Website infopmb.itpln.ac.id"
"241000276","Website infopmb.itpln.ac.id"
"241000277","Jejaring Sosial"
"241000277","Website Lain"
"241000277","Website infopmb.itpln.ac.id"
"241000278","Jejaring Sosial"
"241000279","Teman "
"241000280","Jejaring Sosial"
"241000281","Website infopmb.itpln.ac.id"
"241000283","Jejaring Sosial"
"241000284","Teman "
"241000284","Website infopmb.itpln.ac.id"
"241000285","Jejaring Sosial"
"241000286","Website infopmb.itpln.ac.id"
"241000288","Jejaring Sosial"
"241000288","Teman "
"241000288","Website infopmb.itpln.ac.id"
"241000289","Website infopmb.itpln.ac.id"
"241000290","Website infopmb.itpln.ac.id"
"241000291","Jejaring Sosial"
"241000291","Website infopmb.itpln.ac.id"
"241000291","Media Elektronik (Televisi, Radio)"
"241000292","Website infopmb.itpln.ac.id"
"241000292","Jejaring Sosial"
"241000294","Jejaring Sosial"
"241000294","Media Promosi Cetak (Poster, Flyer, Brosur)"
"241000294","Website infopmb.itpln.ac.id"
"241000295","Website infopmb.itpln.ac.id"
"241000296","Website infopmb.itpln.ac.id"
"241000297","Jejaring Sosial"
"241000297","Teman "
"241000297","Forum Diskusi Online"
"241000300","Website infopmb.itpln.ac.id"
"241000301","Jejaring Sosial"
"241000303","Jejaring Sosial"
"241000306","Teman "
"241000307","Website infopmb.itpln.ac.id"
"241000310","Website Lain"
"241000310","Teman "
"241000310","Jejaring Sosial"
"241000312","Media Cetak (Surat Kabar, Koran, Majalah)"
"241000312","Email / SMS Broadcast"
"241000316","Jejaring Sosial"
"241000316","Guru / Sekolah"
"241000316","Teman "
"241000317","Website infopmb.itpln.ac.id"
"241000319","Guru / Sekolah"
"241000320","Website infopmb.itpln.ac.id"
"241000320","Jejaring Sosial"
"241000320","Teman "
"241000322","Teman "
"241000326","Guru / Sekolah"
"241000328","Website infopmb.itpln.ac.id"
"241000329","Guru / Sekolah"
"241000329","Website infopmb.itpln.ac.id"
"241000329","Email / SMS Broadcast"
"241000329","Teman "
"241000330","Jejaring Sosial"
"241000331","Media Elektronik (Televisi, Radio)"
"241000333","Jejaring Sosial"
"241000334","Website infopmb.itpln.ac.id"
"241000335","Website infopmb.itpln.ac.id"
"241000336","Jejaring Sosial"
"241000336","Website infopmb.itpln.ac.id"
"241000338","Website infopmb.itpln.ac.id"
"241000339","Teman "
"241000341","Website infopmb.itpln.ac.id"
"241000344","Website infopmb.itpln.ac.id"
"241000345","Media Promosi Cetak (Poster, Flyer, Brosur)"
"241000345","Teman "
"241000347","Jejaring Sosial"
"241000348","Website infopmb.itpln.ac.id"
"241000350","Website infopmb.itpln.ac.id"
"241000350","Website Lain"
"241000350","Media Elektronik (Televisi, Radio)"
"241000351","Jejaring Sosial"
"241000353","Website Lain"
"241000354","Guru / Sekolah"
"241000356","Media Promosi Cetak (Poster, Flyer, Brosur)"
"241000356","Guru / Sekolah"
"241000359","Teman "
"241000360","Media Elektronik (Televisi, Radio)"
"241000360","Media Cetak (Surat Kabar, Koran, Majalah)"
"241000360","Guru / Sekolah"
"241000360","Website infopmb.itpln.ac.id"
"241000360","Teman "
"241000360","Jejaring Sosial"
"241000361","Website infopmb.itpln.ac.id"
"241000362","Website infopmb.itpln.ac.id"
"241000364","Teman "
"241000365","Website infopmb.itpln.ac.id"
"241000367","Teman "
"241000367","Website infopmb.itpln.ac.id"
"241000367","Media Promosi Cetak (Poster, Flyer, Brosur)"
"241000367","Jejaring Sosial"
"241000368","Jejaring Sosial"
"241000371","Guru / Sekolah"
"241000371","Email / SMS Broadcast"
"241000371","Website infopmb.itpln.ac.id"
"241000371","Website Lain"
"241000371","Jejaring Sosial"
"241000373","Jejaring Sosial"
"241000374","Jejaring Sosial"
"241000374","Website infopmb.itpln.ac.id"
"241000375","Website infopmb.itpln.ac.id"
"241000375","Media Cetak (Surat Kabar, Koran, Majalah)"
"241000377","Website Lain"
"241000378","Website infopmb.itpln.ac.id"
"241000379","Website infopmb.itpln.ac.id"
"241000382","Teman "
"241000383","Website infopmb.itpln.ac.id"
"241000384","Teman "
"241000385","Jejaring Sosial"
"241000386","Jejaring Sosial"
"241000387","Guru / Sekolah"
"241000388","Teman "
"241000389","Jejaring Sosial"
"241000395","Jejaring Sosial"
"241000396","Website infopmb.itpln.ac.id"
"241000397","Teman "
"241000399","Website infopmb.itpln.ac.id"
"241000400","Jejaring Sosial"
"241000400","Teman "
"241000400","Website infopmb.itpln.ac.id"
"241000401","Website infopmb.itpln.ac.id"
"241000402","Website infopmb.itpln.ac.id"
"241000402","Jejaring Sosial"
"241000403","Website infopmb.itpln.ac.id"
"241000404","Guru / Sekolah"
"241000405","Jejaring Sosial"
"241000405","Website infopmb.itpln.ac.id"
"241000406","Website infopmb.itpln.ac.id"
"241000407","Jejaring Sosial"
"241000408","Website infopmb.itpln.ac.id"
"241000408","Jejaring Sosial"
"241000409","Website infopmb.itpln.ac.id"
"241000409","Teman "
"241000410","Website infopmb.itpln.ac.id"
"241000411","Teman "
"241000412","Jejaring Sosial"
"241000412","Media Elektronik (Televisi, Radio)"
"241000413","Teman "
"241000413","Guru / Sekolah"
"241000413","Website infopmb.itpln.ac.id"
"241000414","Media Cetak (Surat Kabar, Koran, Majalah)"
"241000414","Media Promosi Cetak (Poster, Flyer, Brosur)"
"241000414","Jejaring Sosial"
"241000415","Website infopmb.itpln.ac.id"
"241000415","Jejaring Sosial"
"241000419","Website infopmb.itpln.ac.id"
"241000420","Teman "
"241000422","Media Promosi Cetak (Poster, Flyer, Brosur)"
"241000422","Website infopmb.itpln.ac.id"
"241000422","Teman "
"241000423","Teman "
"241000424","Website infopmb.itpln.ac.id"
"241000425","Media Promosi Cetak (Poster, Flyer, Brosur)"
"241000425","Media Elektronik (Televisi, Radio)"
"241000425","Website infopmb.itpln.ac.id"
"241000427","Jejaring Sosial"
"241000427","Website infopmb.itpln.ac.id"
"241000428","Jejaring Sosial"
"241000431","Jejaring Sosial"
"241000432","Media Cetak (Surat Kabar, Koran, Majalah)"
"241000433","Website infopmb.itpln.ac.id"
"241000433","Teman "
"241000435","Website infopmb.itpln.ac.id"
"241000436","Website infopmb.itpln.ac.id"
"241000437","Jejaring Sosial"
"241000438","Jejaring Sosial"
"241000439","Teman "
"241000439","Forum Diskusi Online"
"241000439","Media Elektronik (Televisi, Radio)"
"241000439","Guru / Sekolah"
"241000440","Website infopmb.itpln.ac.id"
"241000441","Website infopmb.itpln.ac.id"
"241000442","Jejaring Sosial"
"241000443","Guru / Sekolah"
"241000446","Email / SMS Broadcast"
"241000447","Media Elektronik (Televisi, Radio)"
"241000448","Teman "
"241000449","Website infopmb.itpln.ac.id"
"241000451","Media Cetak (Surat Kabar, Koran, Majalah)"
"241000451","Media Promosi Cetak (Poster, Flyer, Brosur)"
"241000451","Website Lain"
"241000452","Jejaring Sosial"
"241000453","Media Elektronik (Televisi, Radio)"
"241000453","Jejaring Sosial"
"241000455","Forum Diskusi Online"
"241000455","Media Cetak (Surat Kabar, Koran, Majalah)"
"241000455","Email / SMS Broadcast"
"241000455","Website Lain"
"241000455","Website infopmb.itpln.ac.id"
"241000455","Media Promosi Cetak (Poster, Flyer, Brosur)"
"241000455","Teman "
"241000456","Teman "
"241000456","Website infopmb.itpln.ac.id"
"241000459","Jejaring Sosial"
"241000459","Website Lain"
"241000460","Teman "
"241000462","Jejaring Sosial"
"241000462","Website infopmb.itpln.ac.id"
"241000463","Jejaring Sosial"
"241000464","Media Elektronik (Televisi, Radio)"
"241000466","Teman "
"241000466","Website infopmb.itpln.ac.id"
"241000468","Jejaring Sosial"
"241000468","Media Cetak (Surat Kabar, Koran, Majalah)"
"241000468","Website infopmb.itpln.ac.id"
"241000469","Teman "
"241000469","Jejaring Sosial"
"241000470","Website infopmb.itpln.ac.id"
"241000470","Jejaring Sosial"
"241000471","Guru / Sekolah"
"241000472","Teman "
"241000472","Guru / Sekolah"
"241000475","Website infopmb.itpln.ac.id"
"241000476","Jejaring Sosial"
"241000476","Website Lain"
"241000477","Media Promosi Cetak (Poster, Flyer, Brosur)"
"241000478","Website Lain"
"241000479","Jejaring Sosial"
"241000479","Website infopmb.itpln.ac.id"
"241000480","Website infopmb.itpln.ac.id"
"241000481","Jejaring Sosial"
"241000481","Website infopmb.itpln.ac.id"
"241000483","Jejaring Sosial"
"241000487","Website infopmb.itpln.ac.id"
"241000488","Teman "
"241000489","Jejaring Sosial"
"241000490","Teman "
"241000491","Email / SMS Broadcast"
"241000492","Jejaring Sosial"
"241000492","Website infopmb.itpln.ac.id"
"241000493","Jejaring Sosial"
"241000495","Media Promosi Cetak (Poster, Flyer, Brosur)"
"241000500","Jejaring Sosial"
"241000500","Website infopmb.itpln.ac.id"
"241000501","Teman "
"241000502","Jejaring Sosial"
"241000503","Website infopmb.itpln.ac.id"
"241000503","Website Lain"
"241000504","Teman "
"241000505","Teman "
"241000509","Teman "
"241000509","Guru / Sekolah"
"241000510","Teman "
"241000511","Website infopmb.itpln.ac.id"
"241000515","Teman "
"241000515","Media Elektronik (Televisi, Radio)"
"241000515","Media Cetak (Surat Kabar, Koran, Majalah)"
"241000515","Media Promosi Cetak (Poster, Flyer, Brosur)"
"241000518","Website infopmb.itpln.ac.id"
"241000520","Jejaring Sosial"
"241000521","Jejaring Sosial"
"241000522","Website infopmb.itpln.ac.id"
"241000525","Jejaring Sosial"
"241000526","HIMDA"
"241000527","Website infopmb.itpln.ac.id"
"241000528","Jejaring Sosial"
"241000529","Teman "
"241000529","Website infopmb.itpln.ac.id"
"241000531","Jejaring Sosial"
"241000531","Teman "
"241000535","Jejaring Sosial"
"241000535","Website infopmb.itpln.ac.id"
"241000537","Teman "
"241000538","Media Cetak (Surat Kabar, Koran, Majalah)"
"241000539","Teman "
"241000540","Website infopmb.itpln.ac.id"
"241000543","Website infopmb.itpln.ac.id"
"241000545","Website infopmb.itpln.ac.id"
"241000550","Teman "
"241000551","Jejaring Sosial"
"241000552","Media Promosi Cetak (Poster, Flyer, Brosur)"
"241000554","Jejaring Sosial"
"241000554","Website Lain"
"241000555","Media Promosi Cetak (Poster, Flyer, Brosur)"
"241000555","Media Elektronik (Televisi, Radio)"
"241000557","Jejaring Sosial"
"241000559","Teman "
"241000559","Jejaring Sosial"
"241000559","Website infopmb.itpln.ac.id"
"241000560","Guru / Sekolah"
"241000560","Forum Diskusi Online"
"241000560","Website Lain"
"241000560","Website infopmb.itpln.ac.id"
"241000564","Forum Diskusi Online"
"241000565","Teman "
"241000565","Jejaring Sosial"
"241000566","Guru / Sekolah"
"241000567","Jejaring Sosial"
"241000567","Website infopmb.itpln.ac.id"
"241000570","Guru / Sekolah"
"241000570","Teman "
"241000570","Website infopmb.itpln.ac.id"
"241000572","Jejaring Sosial"
"241000572","Website Lain"
"241000574","Jejaring Sosial"
"241000576","Jejaring Sosial"
"241000577","Website infopmb.itpln.ac.id"
"241000580","Teman "
"241000582","Website infopmb.itpln.ac.id"
"241000583","Teman "
"241000583","Jejaring Sosial"
"241000584","Guru / Sekolah"
"241000586","Website Lain"
"241000586","Guru / Sekolah"
"241000588","Teman "
"241000590","Jejaring Sosial"
"241000590","Website infopmb.itpln.ac.id"
"241000591","Teman "
"241000591","Forum Diskusi Online"
"241000593","Jejaring Sosial"
"241000594","Jejaring Sosial"
"241000596","Website infopmb.itpln.ac.id"
"241000596","Jejaring Sosial"
"241000597","Teman "
"241000598","Media Promosi Cetak (Poster, Flyer, Brosur)"
"241000599","Jejaring Sosial"
"241000600","Website infopmb.itpln.ac.id"
"241000601","Jejaring Sosial"
"241000602","Website infopmb.itpln.ac.id"
"241000603","Website infopmb.itpln.ac.id"
"241000604","Jejaring Sosial"
"241000604","Teman "
"241000606","Jejaring Sosial"
"241000607","Jejaring Sosial"
"241000607","Guru / Sekolah"
"241000608","Website infopmb.itpln.ac.id"
"241000609","Media Promosi Cetak (Poster, Flyer, Brosur)"
"241000609","Media Elektronik (Televisi, Radio)"
"241000609","Media Cetak (Surat Kabar, Koran, Majalah)"
"241000611","Jejaring Sosial"
"241000613","Media Elektronik (Televisi, Radio)"
"241000614","Jejaring Sosial"
"241000615","Website infopmb.itpln.ac.id"
"241000615","Teman "
"241000617","Website Lain"
"241000618","Website infopmb.itpln.ac.id"
"241000621","Jejaring Sosial"
"241000622","Media Cetak (Surat Kabar, Koran, Majalah)"
"241000623","Teman "
"241000625","Teman "
"241000626","Guru / Sekolah"
"241000627","Website infopmb.itpln.ac.id"
"241000627","Jejaring Sosial"
"241000628","Jejaring Sosial"
"241000629","Teman "
"241000630","Website infopmb.itpln.ac.id"
"241000630","Teman "
"241000631","Website infopmb.itpln.ac.id"
"241000637","Teman "
"241000638","Teman "
"241000639","Guru / Sekolah"
"241000640","Website Lain"
"241000640","Website infopmb.itpln.ac.id"
"241000644","Media Elektronik (Televisi, Radio)"
"241000644","Jejaring Sosial"
"241000644","Website infopmb.itpln.ac.id"
"241000645","Media Elektronik (Televisi, Radio)"
"241000645","Website infopmb.itpln.ac.id"
"241000646","Teman "
"241000647","Jejaring Sosial"
"241000648","Teman "
"241000649","Jejaring Sosial"
"241000650","Jejaring Sosial"
"241000650","Teman "
"241000652","Website infopmb.itpln.ac.id"
"241000652","Guru / Sekolah"
"241000654","Jejaring Sosial"
"241000655","Media Elektronik (Televisi, Radio)"
"241000655","Website Lain"
"241000655","Forum Diskusi Online"
"241000656","Website infopmb.itpln.ac.id"
"241000657","Teman "
"241000662","Jejaring Sosial"
"241000663","Media Promosi Cetak (Poster, Flyer, Brosur)"
"241000664","Jejaring Sosial"
"241000666","Jejaring Sosial"
"241000666","Website infopmb.itpln.ac.id"
"241000667","Website infopmb.itpln.ac.id"
"241000670","Guru / Sekolah"
"241000671","Website infopmb.itpln.ac.id"
"241000672","Jejaring Sosial"
"241000673","Website infopmb.itpln.ac.id"
"241000680","Jejaring Sosial"
"241000680","Website infopmb.itpln.ac.id"
"241000680","Teman "
"241000681","Jejaring Sosial"
"241000682","Teman "
"241000683","Jejaring Sosial"
"241000685","Guru / Sekolah"
"241000686","Teman "
"241000690","Jejaring Sosial"
"241000693","Teman "
"241000695","Teman "
"241000696","Teman "
"241000697","Website infopmb.itpln.ac.id"
"241000698","Website infopmb.itpln.ac.id"
"241000699","Jejaring Sosial"
"241000700","Teman "
"241000700","Media Promosi Cetak (Poster, Flyer, Brosur)"
"241000703","Website infopmb.itpln.ac.id"
"241000704","Jejaring Sosial"
"241000705","Website infopmb.itpln.ac.id"
"241000706","Website infopmb.itpln.ac.id"
"241000707","Teman "
"241000707","Website infopmb.itpln.ac.id"
"241000708","Forum Diskusi Online"
"241000709","Media Cetak (Surat Kabar, Koran, Majalah)"
"241000709","Website infopmb.itpln.ac.id"
"241000709","Guru / Sekolah"
"241000709","Media Promosi Cetak (Poster, Flyer, Brosur)"
"241000710","Guru / Sekolah"
"241000711","Website infopmb.itpln.ac.id"
"241000712","Teman "
"241000713","Media Elektronik (Televisi, Radio)"
"241000715","Website infopmb.itpln.ac.id"
"241000718","Website infopmb.itpln.ac.id"
"241000718","Teman "
"241000718","Website Lain"
"241000719","Jejaring Sosial"
"241000721","Website infopmb.itpln.ac.id"
"241000721","Teman "
"241000722","Website infopmb.itpln.ac.id"
"241000724","Website infopmb.itpln.ac.id"
"241000726","Jejaring Sosial"
"241000727","Website infopmb.itpln.ac.id"
"241000728","Jejaring Sosial"
"241000730","Media Cetak (Surat Kabar, Koran, Majalah)"
"241000730","Teman "
"241000731","Website infopmb.itpln.ac.id"
"241000732","Media Cetak (Surat Kabar, Koran, Majalah)"
"241000732","Jejaring Sosial"
"241000733","Teman "
"241000733","Website infopmb.itpln.ac.id"
"241000733","Jejaring Sosial"
"241000735","Media Cetak (Surat Kabar, Koran, Majalah)"
"241000735","Website Lain"
"241000735","Media Promosi Cetak (Poster, Flyer, Brosur)"
"241000735","Teman "
"241000735","Jejaring Sosial"
"241000736","Website infopmb.itpln.ac.id"
"241000739","Teman "
"241000740","Teman "
"241000741","Website infopmb.itpln.ac.id"
"241000742","Guru / Sekolah"
"241000742","Jejaring Sosial"
"241000743","Jejaring Sosial"
"241000743","Media Promosi Cetak (Poster, Flyer, Brosur)"
"241000743","Website infopmb.itpln.ac.id"
"241000744","Teman "
"241000745","Teman "
"241000747","Website infopmb.itpln.ac.id"
"241000748","Guru / Sekolah"
"241000749","Website infopmb.itpln.ac.id"
"241000750","Jejaring Sosial"
"241000750","Teman "
"241000750","Guru / Sekolah"
"241000755","Jejaring Sosial"
"241000756","Jejaring Sosial"
"241000757","Website infopmb.itpln.ac.id"
"241000759","Website infopmb.itpln.ac.id"
"241000761","Website infopmb.itpln.ac.id"
"241000761","Jejaring Sosial"
"241000762","Jejaring Sosial"
"241000763","Guru / Sekolah"
"241000764","Teman "
"241000764","Website infopmb.itpln.ac.id"
"241000765","Website infopmb.itpln.ac.id"
"241000765","Jejaring Sosial"
"241000767","Jejaring Sosial"
"241000769","Website Lain"
"241000771","Teman "
"241000771","Website infopmb.itpln.ac.id"
"241000771","Jejaring Sosial"
"241000772","Website Lain"
"241000773","Website infopmb.itpln.ac.id"
"241000774","Media Cetak (Surat Kabar, Koran, Majalah)"
"241000775","Website infopmb.itpln.ac.id"
"241000776","Website infopmb.itpln.ac.id"
