"no_reg","pilihan"
"231000061","Website infopmb.itpln.ac.id"
"231000062","Website infopmb.itpln.ac.id"
"231000063","Website infopmb.itpln.ac.id"
"231000064","Jejaring Sosial"
"231000064","Guru / Sekolah"
"231000064","Website infopmb.itpln.ac.id"
"231000064","Teman "
"231000064","Forum Diskusi Online"
"231000065","Jejaring Sosial"
"231000067","Website infopmb.itpln.ac.id"
"231000068","Jejaring Sosial"
"231000069","Jejaring Sosial"
"231000070","Website Lain"
"231000071","Jejaring Sosial"
"231000072","Jejaring Sosial"
"231000072","Guru / Sekolah"
"231000072","Media Promosi Cetak (Poster, Flyer, Brosur)"
"231000072","Website infopmb.itpln.ac.id"
"231000074","Media Elektronik (Televisi, Radio)"
"231000074","Media Promosi Cetak (Poster, Flyer, Brosur)"
"231000074","Media Cetak (Surat Kabar, Koran, Majalah)"
"231000075","Website infopmb.itpln.ac.id"
"231000076","Website infopmb.itpln.ac.id"
"231000077","Website Lain"
"231000078","Jejaring Sosial"
"231000079","Jejaring Sosial"
"231000080","Jejaring Sosial"
"231000081","Guru / Sekolah"
"231000081","Website infopmb.itpln.ac.id"
"231000082","Guru / Sekolah"
"231000082","Website infopmb.itpln.ac.id"
"231000083","Website infopmb.itpln.ac.id"
"231000084","Guru / Sekolah"
"231000086","Website infopmb.itpln.ac.id"
"231000088","Website infopmb.itpln.ac.id"
"231000088","Jejaring Sosial"
"231000089","Website infopmb.itpln.ac.id"
"231000089","Teman "
"231000089","Jejaring Sosial"
"231000093","Jejaring Sosial"
"231000094","Jejaring Sosial"
"231000095","Website infopmb.itpln.ac.id"
"231000095","Media Promosi Cetak (Poster, Flyer, Brosur)"
"231000095","Jejaring Sosial"
"231000096","Jejaring Sosial"
"231000097","Media Promosi Cetak (Poster, Flyer, Brosur)"
"231000097","Jejaring Sosial"
"231000098","Website infopmb.itpln.ac.id"
"231000098","Jejaring Sosial"
"231000099","Jejaring Sosial"
"231000102","Website infopmb.itpln.ac.id"
"231000102","Website Lain"
"231000102","Jejaring Sosial"
"231000103","Teman "
"231000103","Jejaring Sosial"
"231000104","Website infopmb.itpln.ac.id"
"231000105","Teman "
"231000107","Website Lain"
"231000108","Website infopmb.itpln.ac.id"
"231000109","Jejaring Sosial"
"231000109","Website Lain"
"231000109","Website infopmb.itpln.ac.id"
"231000109","Teman "
"231000110","Website infopmb.itpln.ac.id"
"231000110","Teman "
"231000111","Website Lain"
"231000111","Website infopmb.itpln.ac.id"
"231000112","Website infopmb.itpln.ac.id"
"231000114","Website infopmb.itpln.ac.id"
"231000115","Jejaring Sosial"
"231000116","Jejaring Sosial"
"231000116","Website infopmb.itpln.ac.id"
"231000116","Guru / Sekolah"
"231000118","Jejaring Sosial"
"231000118","Website infopmb.itpln.ac.id"
"231000119","Website infopmb.itpln.ac.id"
"231000120","Jejaring Sosial"
"231000121","Jejaring Sosial"
"231000121","Website Lain"
"231000122","Jejaring Sosial"
"231000122","Website infopmb.itpln.ac.id"
"231000123","Website infopmb.itpln.ac.id"
"231000124","Website infopmb.itpln.ac.id"
"231000124","Jejaring Sosial"
"231000125","Jejaring Sosial"
"231000126","Guru / Sekolah"
"231000127","Website infopmb.itpln.ac.id"
"231000129","Jejaring Sosial"
"231000129","Website infopmb.itpln.ac.id"
"231000130","Jejaring Sosial"
"231000131","Website infopmb.itpln.ac.id"
"231000133","Website infopmb.itpln.ac.id"
"231000134","Teman "
"231000135","Jejaring Sosial"
"231000135","Website infopmb.itpln.ac.id"
"231000136","Website infopmb.itpln.ac.id"
"231000137","Media Elektronik (Televisi, Radio)"
"231000137","Jejaring Sosial"
"231000137","Media Promosi Cetak (Poster, Flyer, Brosur)"
"231000137","Website infopmb.itpln.ac.id"
"231000138","Jejaring Sosial"
"231000139","Website infopmb.itpln.ac.id"
"231000140","Website infopmb.itpln.ac.id"
"231000140","Jejaring Sosial"
"231000141","Guru / Sekolah"
"231000142","Jejaring Sosial"
"231000143","Teman "
"231000143","Guru / Sekolah"
"231000144","Website infopmb.itpln.ac.id"
"231000145","Website infopmb.itpln.ac.id"
"231000146","Media Promosi Cetak (Poster, Flyer, Brosur)"
"231000146","Guru / Sekolah"
"231000146","Website infopmb.itpln.ac.id"
"231000147","Website Lain"
"231000147","Jejaring Sosial"
"231000148","Jejaring Sosial"
"231000149","Website infopmb.itpln.ac.id"
"231000150","Website infopmb.itpln.ac.id"
"231000151","Jejaring Sosial"
"231000152","Forum Diskusi Online"
"231000153","Jejaring Sosial"
"231000154","Website infopmb.itpln.ac.id"
"231000155","Guru / Sekolah"
"231000156","Website infopmb.itpln.ac.id"
"231000158","Jejaring Sosial"
"231000159","Jejaring Sosial"
"231000160","Website infopmb.itpln.ac.id"
"231000161","Website infopmb.itpln.ac.id"
"231000162","Guru / Sekolah"
"231000163","Website infopmb.itpln.ac.id"
"231000163","Teman "
"231000163","Jejaring Sosial"
"231000163","Guru / Sekolah"
"231000163","Forum Diskusi Online"
"231000164","Media Promosi Cetak (Poster, Flyer, Brosur)"
"231000165","Website infopmb.itpln.ac.id"
"231000165","Media Elektronik (Televisi, Radio)"
"231000165","Media Promosi Cetak (Poster, Flyer, Brosur)"
"231000165","Forum Diskusi Online"
"231000166","Website infopmb.itpln.ac.id"
"231000167","Website infopmb.itpln.ac.id"
"231000168","Jejaring Sosial"
"231000169","Guru / Sekolah"
"231000170","Website infopmb.itpln.ac.id"
"231000171","Website infopmb.itpln.ac.id"
"231000172","Guru / Sekolah"
"231000173","Website infopmb.itpln.ac.id"
"231000174","Guru / Sekolah"
"231000175","Teman "
"231000175","Jejaring Sosial"
"231000176","Website infopmb.itpln.ac.id"
"231000177","Teman "
"231000178","Jejaring Sosial"
"231000179","Teman "
"231000179","Jejaring Sosial"
"231000179","Website infopmb.itpln.ac.id"
"231000180","Jejaring Sosial"
"231000181","Jejaring Sosial"
"231000182","Jejaring Sosial"
"231000182","Guru / Sekolah"
"231000182","Website infopmb.itpln.ac.id"
"231000183","Forum Diskusi Online"
"231000183","Guru / Sekolah"
"231000184","Jejaring Sosial"
"231000185","Jejaring Sosial"
"231000186","Guru / Sekolah"
"231000187","Website infopmb.itpln.ac.id"
"231000188","Website infopmb.itpln.ac.id"
"231000189","Media Elektronik (Televisi, Radio)"
"231000190","Jejaring Sosial"
"231000192","Teman "
"231000192","Jejaring Sosial"
"231000194","Guru / Sekolah"
"231000195","Website infopmb.itpln.ac.id"
"231000196","Jejaring Sosial"
"231000197","Website infopmb.itpln.ac.id"
"231000198","Teman "
"231000199","Teman "
"231000200","Jejaring Sosial"
"231000200","Website infopmb.itpln.ac.id"
"231000200","Guru / Sekolah"
"231000201","Jejaring Sosial"
"231000201","Teman "
"231000202","Jejaring Sosial"
"231000202","Website infopmb.itpln.ac.id"
"231000203","Jejaring Sosial"
"231000203","Website Lain"
"231000204","Jejaring Sosial"
"231000205","Jejaring Sosial"
"231000206","Forum Diskusi Online"
"231000207","Guru / Sekolah"
"231000208","Website infopmb.itpln.ac.id"
"231000209","Guru / Sekolah"
"231000210","Jejaring Sosial"
"231000210","Media Elektronik (Televisi, Radio)"
"231000210","Website infopmb.itpln.ac.id"
"231000211","Teman "
"231000212","Website infopmb.itpln.ac.id"
"231000213","Jejaring Sosial"
"231000214","Website Lain"
"231000215","Website infopmb.itpln.ac.id"
"231000217","Website infopmb.itpln.ac.id"
"231000218","Teman "
"231000218","Website infopmb.itpln.ac.id"
"231000219","Website infopmb.itpln.ac.id"
"231000220","Guru / Sekolah"
"231000220","Website infopmb.itpln.ac.id"
"231000221","Guru / Sekolah"
"231000221","Website infopmb.itpln.ac.id"
"231000222","Teman "
"231000223","Jejaring Sosial"
"231000223","Website infopmb.itpln.ac.id"
"231000224","Website infopmb.itpln.ac.id"
"231000225","Jejaring Sosial"
"231000226","Jejaring Sosial"
"231000226","Website infopmb.itpln.ac.id"
"231000228","Guru / Sekolah"
"231000229","Jejaring Sosial"
"231000229","Teman "
"231000230","Guru / Sekolah"
"231000230","Teman "
"231000230","Website infopmb.itpln.ac.id"
"231000231","Website infopmb.itpln.ac.id"
"231000232","Media Elektronik (Televisi, Radio)"
"231000232","Website infopmb.itpln.ac.id"
"231000233","Website infopmb.itpln.ac.id"
"231000234","Teman "
"231000235","Jejaring Sosial"
"231000235","Website infopmb.itpln.ac.id"
"231000236","Guru / Sekolah"
"231000237","Guru / Sekolah"
"231000237","Jejaring Sosial"
"231000237","Website infopmb.itpln.ac.id"
"231000239","Website infopmb.itpln.ac.id"
"231000240","Jejaring Sosial"
"231000242","Guru / Sekolah"
"231000243","Website infopmb.itpln.ac.id"
"231000243","Guru / Sekolah"
"231000244","Website infopmb.itpln.ac.id"
"231000247","Teman "
"231000248","Jejaring Sosial"
"231000248","Teman "
"231000249","Website infopmb.itpln.ac.id"
"231000249","Jejaring Sosial"
"231000250","Email / SMS Broadcast"
"231000250","Media Promosi Cetak (Poster, Flyer, Brosur)"
"231000251","Teman "
"231000251","Jejaring Sosial"
"231000251","Media Promosi Cetak (Poster, Flyer, Brosur)"
"231000252","Website Lain"
"231000253","Jejaring Sosial"
"231000254","Website infopmb.itpln.ac.id"
"231000255","Website infopmb.itpln.ac.id"
"231000256","Email / SMS Broadcast"
"231000257","Website infopmb.itpln.ac.id"
"231000257","Teman "
"231000257","Jejaring Sosial"
"231000258","Jejaring Sosial"
"231000263","Jejaring Sosial"
"231000264","Website infopmb.itpln.ac.id"
"231000265","Jejaring Sosial"
"231000266","Website infopmb.itpln.ac.id"
"231000266","Media Elektronik (Televisi, Radio)"
"231000266","Jejaring Sosial"
"231000267","Jejaring Sosial"
"231000267","Teman "
"231000268","Website infopmb.itpln.ac.id"
"231000269","Website infopmb.itpln.ac.id"
"231000270","Email / SMS Broadcast"
"231000272","Website infopmb.itpln.ac.id"
"231000272","Website Lain"
"231000273","Teman "
"231000274","Website infopmb.itpln.ac.id"
"231000275","Website infopmb.itpln.ac.id"
"231000276","Media Promosi Cetak (Poster, Flyer, Brosur)"
"231000277","Jejaring Sosial"
"231000277","Website Lain"
"231000278","Jejaring Sosial"
"231000278","Website infopmb.itpln.ac.id"
"231000279","Website infopmb.itpln.ac.id"
"231000280","Website infopmb.itpln.ac.id"
"231000281","Media Cetak (Surat Kabar, Koran, Majalah)"
"231000281","Jejaring Sosial"
"231000281","Media Elektronik (Televisi, Radio)"
"231000281","Website Lain"
"231000281","Website infopmb.itpln.ac.id"
"231000281","Media Promosi Cetak (Poster, Flyer, Brosur)"
"231000281","Teman "
"231000283","Teman "
"231000285","Website infopmb.itpln.ac.id"
"231000286","Jejaring Sosial"
"231000287","Teman "
"231000288","Jejaring Sosial"
"231000289","Website infopmb.itpln.ac.id"
"231000289","Teman "
"231000290","Website infopmb.itpln.ac.id"
"231000291","Teman "
"231000292","Teman "
"231000292","Website infopmb.itpln.ac.id"
"231000293","Jejaring Sosial"
"231000294","Website infopmb.itpln.ac.id"
"231000295","Teman "
"231000297","Website infopmb.itpln.ac.id"
"231000297","Jejaring Sosial"
"231000297","Guru / Sekolah"
"231000297","Website Lain"
"231000298","Teman "
"231000299","Teman "
"231000300","Website infopmb.itpln.ac.id"
"231000301","Website infopmb.itpln.ac.id"
"231000302","Website infopmb.itpln.ac.id"
"231000303","Media Promosi Cetak (Poster, Flyer, Brosur)"
"231000304","Website infopmb.itpln.ac.id"
"231000305","Website Lain"
"231000306","Website infopmb.itpln.ac.id"
"231000307","Website infopmb.itpln.ac.id"
"231000307","Teman "
"231000307","Jejaring Sosial"
"231000308","Website infopmb.itpln.ac.id"
"231000309","Website infopmb.itpln.ac.id"
"231000310","Website infopmb.itpln.ac.id"
"231000310","Jejaring Sosial"
"231000310","Media Elektronik (Televisi, Radio)"
"231000311","Website infopmb.itpln.ac.id"
"231000312","Website infopmb.itpln.ac.id"
"231000313","Website infopmb.itpln.ac.id"
"231000314","Jejaring Sosial"
"231000315","Website infopmb.itpln.ac.id"
"231000316","Jejaring Sosial"
"231000317","Jejaring Sosial"
"231000318","Media Elektronik (Televisi, Radio)"
"231000318","Teman "
"231000318","Jejaring Sosial"
"231000319","Email / SMS Broadcast"
"231000320","Website infopmb.itpln.ac.id"
"231000321","Teman "
"231000321","Guru / Sekolah"
"231000321","Jejaring Sosial"
"231000321","Website infopmb.itpln.ac.id"
"231000322","Guru / Sekolah"
"231000323","Website infopmb.itpln.ac.id"
"231000324","Media Cetak (Surat Kabar, Koran, Majalah)"
"231000324","Website infopmb.itpln.ac.id"
"231000324","Website Lain"
"231000325","Website infopmb.itpln.ac.id"
"231000325","Jejaring Sosial"
"231000325","Website Lain"
"231000326","Website infopmb.itpln.ac.id"
"231000327","Media Cetak (Surat Kabar, Koran, Majalah)"
"231000327","Teman "
"231000327","Jejaring Sosial"
"231000328","Website infopmb.itpln.ac.id"
"231000329","Guru / Sekolah"
"231000330","Website Lain"
"231000331","Website infopmb.itpln.ac.id"
"231000332","Website infopmb.itpln.ac.id"
"231000333","Jejaring Sosial"
"231000333","Website infopmb.itpln.ac.id"
"231000334","Teman "
"231000335","Website infopmb.itpln.ac.id"
"231000335","Website Lain"
"231000336","Jejaring Sosial"
"231000337","Jejaring Sosial"
"231000338","Teman "
"231000339","Jejaring Sosial"
"231000340","Website infopmb.itpln.ac.id"
"231000341","Website infopmb.itpln.ac.id"
"231000342","Website infopmb.itpln.ac.id"
"231000343","Website infopmb.itpln.ac.id"
"231000344","Website infopmb.itpln.ac.id"
"231000345","Website infopmb.itpln.ac.id"
"231000346","Teman "
"231000346","Guru / Sekolah"
"231000347","Website infopmb.itpln.ac.id"
"231000347","Jejaring Sosial"
"231000348","Teman "
"231000349","Website infopmb.itpln.ac.id"
"231000349","Teman "
"231000350","Media Elektronik (Televisi, Radio)"
"231000350","Website infopmb.itpln.ac.id"
"231000351","Jejaring Sosial"
"231000352","Forum Diskusi Online"
"231000352","Website infopmb.itpln.ac.id"
"231000352","Jejaring Sosial"
"231000353","Website infopmb.itpln.ac.id"
"231000354","Website Lain"
"231000355","Website Lain"
"231000355","Teman "
"231000356","Jejaring Sosial"
"231000357","Media Elektronik (Televisi, Radio)"
"231000358","Website infopmb.itpln.ac.id"
"231000358","Jejaring Sosial"
"231000359","Website infopmb.itpln.ac.id"
"231000360","Forum Diskusi Online"
"231000360","Website infopmb.itpln.ac.id"
"231000360","Teman "
"231000360","Jejaring Sosial"
"231000361","Jejaring Sosial"
"231000362","Website infopmb.itpln.ac.id"
"231000362","Website Lain"
"231000363","Website infopmb.itpln.ac.id"
"231000364","Website infopmb.itpln.ac.id"
"231000365","Guru / Sekolah"
"231000366","Jejaring Sosial"
"231000366","Website infopmb.itpln.ac.id"
"231000367","Teman "
"231000367","Guru / Sekolah"
"231000368","Website infopmb.itpln.ac.id"
"231000369","Jejaring Sosial"
"231000370","Guru / Sekolah"
"231000370","Website infopmb.itpln.ac.id"
"231000371","Guru / Sekolah"
"231000371","Website infopmb.itpln.ac.id"
"231000372","Website infopmb.itpln.ac.id"
"231000373","Website infopmb.itpln.ac.id"
"231000374","Website infopmb.itpln.ac.id"
"231000375","Jejaring Sosial"
"231000376","Teman "
"231000376","Website infopmb.itpln.ac.id"
"231000377","Jejaring Sosial"
"231000378","Website Lain"
"231000378","Media Promosi Cetak (Poster, Flyer, Brosur)"
"231000379","Website infopmb.itpln.ac.id"
"231000379","Website Lain"
"231000380","Jejaring Sosial"
"231000381","Guru / Sekolah"
"231000382","Jejaring Sosial"
"231000383","Media Promosi Cetak (Poster, Flyer, Brosur)"
"231000383","Teman "
"231000384","Jejaring Sosial"
"231000384","Guru / Sekolah"
"231000384","Website infopmb.itpln.ac.id"
"231000385","Jejaring Sosial"
"231000385","Email / SMS Broadcast"
"231000385","Teman "
"231000385","Guru / Sekolah"
"231000385","Website infopmb.itpln.ac.id"
"231000386","Forum Diskusi Online"
"231000387","Jejaring Sosial"
"231000387","Teman "
"231000387","Website infopmb.itpln.ac.id"
"231000388","Jejaring Sosial"
"231000388","Teman "
"231000388","Guru / Sekolah"
"231000389","Teman "
"231000390","Website infopmb.itpln.ac.id"
"231000391","Jejaring Sosial"
"231000392","Jejaring Sosial"
"231000393","Guru / Sekolah"
"231000394","Jejaring Sosial"
"231000395","Website Lain"
"231000395","Website infopmb.itpln.ac.id"
"231000396","Teman "
"231000398","Jejaring Sosial"
"231000399","Website infopmb.itpln.ac.id"
"231000400","Website infopmb.itpln.ac.id"
"231000401","Website infopmb.itpln.ac.id"
"231000402","Website infopmb.itpln.ac.id"
"231000403","Website infopmb.itpln.ac.id"
"231000403","Media Elektronik (Televisi, Radio)"
"231000404","Website infopmb.itpln.ac.id"
"231000404","Website Lain"
"231000404","Jejaring Sosial"
"231000406","Forum Diskusi Online"
"231000406","Website infopmb.itpln.ac.id"
"231000406","Teman "
"231000406","Jejaring Sosial"
"231000407","Website Lain"
"231000407","Website infopmb.itpln.ac.id"
"231000408","Guru / Sekolah"
"231000409","Teman "
"231000410","Website infopmb.itpln.ac.id"
"231000411","Website infopmb.itpln.ac.id"
"231000412","Media Elektronik (Televisi, Radio)"
"231000413","Jejaring Sosial"
"231000414","Website infopmb.itpln.ac.id"
"231000415","Website infopmb.itpln.ac.id"
"231000416","Teman "
"231000417","Website infopmb.itpln.ac.id"
"231000417","Jejaring Sosial"
"231000418","Website infopmb.itpln.ac.id"
